SD_Type,MAE,MASE,N
SD0,726.52,0.3267,91776
SD1,607.31,0.2731,630
SD2,924.33,0.4157,6688
SD3,842.57,0.3789,5574
SD4,627.23,0.2821,6753
Overall,737.51,0.3317,111421
