SD_Type,MAE,MASE,N
SD0,742.61,0.334,91776
SD1,742.93,0.3341,630
SD2,1210.0,0.5442,6688
SD3,992.55,0.4464,5574
SD4,784.03,0.3526,6753
Overall,785.68,0.3533,111421
