SD_Type,MAE,MASE,N
SD0,804.12,0.3616,91776
SD1,748.52,0.3366,630
SD2,984.26,0.4427,6688
SD3,942.87,0.424,5574
SD4,697.15,0.3135,6753
Overall,815.08,0.3666,111421
