SD_Type,MAE,MASE,N
SD0,572.38,0.2588,4100
SD1,183.17,0.0828,20
SD2,1044.57,0.4722,300
SD3,669.43,0.3026,250
SD4,577.54,0.2611,300
Overall,604.51,0.2733,4970
