SD_Type,MAE,MASE,N
SD0,839.04,0.3773,91776
SD1,945.07,0.425,630
SD2,1219.89,0.5486,6688
SD3,1142.59,0.5139,5574
SD4,806.81,0.3628,6753
Overall,875.74,0.3938,111421
