SD_Type,S-Naive,S-Naive-Std,S-Median,LIN-REG,LightGBM,MLP-REG,MLP-CL(max),MLP-CL(median),LSTM-REG,LSTM-CL(max),LSTM-CL(median)
SD0,2114.6,1379.7,1228.0,682.1,572.4,692.2,804.1,726.5,757.0,839.0,742.6
SD1,1537.9,875.1,720.5,553.0,183.2,754.7,748.5,607.3,1390.2,945.1,742.9
SD2,2521.6,2065.2,2012.1,1200.4,1044.6,1001.1,984.3,924.3,1073.5,1219.9,1210.0
SD3,1726.8,1043.3,1031.2,1008.7,669.4,934.5,942.9,842.6,974.3,1142.6,992.5
SD4,1823.3,1767.0,991.9,780.5,577.5,603.8,697.1,627.2,944.5,806.8,784.0
Overall,2099.8,1425.5,1249.2,735.2,604.5,717.9,815.1,737.5,801.8,875.7,785.7
