SD_Type,MAE,MASE,N
SD0,692.21,0.3113,91776
SD1,754.66,0.3394,630
SD2,1001.11,0.4502,6688
SD3,934.49,0.4203,5574
SD4,603.76,0.2715,6753
Overall,717.87,0.3228,111421
