SD_Type,MAE,MASE,N
SD0,2114.63,0.956,4100
SD1,1537.9,0.6952,20
SD2,2521.56,1.1399,300
SD3,1726.84,0.7807,250
SD4,1823.34,0.8243,300
Overall,2099.78,0.9492,4970
