SD_Type,MAE,MASE,N
SD0,1379.69,0.6237,4100
SD1,875.07,0.3956,20
SD2,2065.25,0.9336,300
SD3,1043.32,0.4717,250
SD4,1766.97,0.7988,300
Overall,1425.49,0.6444,4970
