SD_Type,MAE,MASE,N
SD0,682.1,0.3084,4100
SD1,553.03,0.25,20
SD2,1200.41,0.5427,300
SD3,1008.66,0.456,250
SD4,780.48,0.3528,300
Overall,735.23,0.3324,4970
