SD_Type,MAE,MASE,N
SD0,1228.01,0.5551,4100
SD1,720.55,0.3257,20
SD2,2012.11,0.9096,300
SD3,1031.23,0.4662,250
SD4,991.89,0.4484,300
Overall,1249.15,0.5647,4970
